580
308,525
301,133
316,561,0
281,543,0
301,545,0
362,143,1
268,505,0
327,163,1
278,128,1
263,155,1
269,538,0
281,523,0
307,156,1
293,521,0
312,128,1
300,89,1
317,133,1
280,166,1
295,104,1
267,467,0
325,466,0
301,519,0
284,546,0
291,130,1
262,117,1
259,119,1
318,558,0
325,538,0
298,541,0
301,512,0
277,164,1
292,522,0
298,121,1
284,115,1
311,509,0
315,500,0
333,152,1
290,134,1
320,542,0
322,136,1
291,176,1
316,108,1
289,112,1
309,555,0
314,134,1
277,126,1
291,527,0
303,563,0
287,566,0
319,520,0
343,534,0
264,176,1
289,159,1
303,144,1
295,146,1
330,143,1
280,139,1
280,509,0
318,538,0
293,493,0
303,513,0
301,157,1
319,484,0
307,110,1
268,498,0
265,473,0
333,141,1
295,519,0
305,124,1
327,546,0
316,134,1
313,568,0
291,537,0
297,129,1
322,147,1
303,529,0
366,514,0
314,144,1
309,506,0
335,533,0
280,527,0
273,562,0
308,534,0
305,133,1
269,534,0
318,136,1
298,131,1
329,138,1
323,134,1
289,483,0
309,581,0
375,534,0
304,491,0
289,131,1
329,510,0
286,496,0
308,119,1
293,539,0
282,512,0
287,135,1
330,130,1
313,564,0
279,513,0
294,133,1
292,489,0
317,507,0
310,563,0
315,85,1
338,489,0
310,154,1
316,564,0
335,530,0
297,128,1
317,134,1
247,136,1
300,131,1
356,561,0
337,503,0
340,136,1
304,519,0
325,116,1
288,516,0
332,517,0
292,144,1
303,501,0
299,485,0
298,530,0
308,129,1
313,505,0
318,501,0
312,518,0
307,521,0
306,88,1
275,110,1
253,135,1
251,99,1
253,156,1
296,570,0
327,527,0
300,558,0
310,512,0
298,129,1
306,549,0
311,176,1
318,524,0
312,151,1
289,536,0
302,516,0
271,525,0
331,142,1
321,485,0
324,553,0
292,529,0
315,528,0
314,138,1
293,527,0
335,527,0
295,75,1
273,154,1
297,138,1
273,122,1
299,518,0
283,135,1
305,523,0
365,525,0
317,521,0
300,129,1
313,483,0
309,529,0
259,80,1
323,110,1
334,143,1
304,122,1
334,132,1
239,530,0
298,132,1
332,157,1
318,508,0
320,174,1
343,526,0
337,539,0
337,518,0
269,526,0
317,504,0
312,532,0
281,135,1
281,535,0
351,556,0
268,511,0
318,508,0
327,154,1
324,527,0
279,555,0
315,531,0
305,497,0
322,121,1
337,128,1
273,109,1
299,119,1
276,540,0
272,528,0
309,520,0
271,159,1
294,516,0
333,133,1
322,116,1
329,539,0
302,116,1
329,133,1
322,536,0
326,532,0
280,143,1
328,489,0
341,564,0
290,521,0
580
308,525
301,133
336,540,0
294,503,0
304,514,0
293,138,1
302,126,1
310,136,1
343,544,0
254,143,1
303,552,0
321,531,0
302,177,1
322,575,0
299,503,0
317,147,1
330,534,0
295,500,0
279,138,1
313,552,0
288,498,0
321,546,0
320,566,0
323,119,1
340,132,1
280,110,1
269,99,1
301,137,1
308,524,0
302,102,1
346,132,1
321,509,0
313,548,0
310,97,1
356,549,0
290,567,0
300,500,0
278,129,1
241,143,1
332,496,0
293,532,0
289,116,1
291,534,0
325,158,1
295,140,1
265,147,1
291,514,0
294,123,1
320,143,1
262,507,0
308,507,0
314,101,1
312,89,1
347,112,1
304,132,1
330,540,0
284,506,0
343,509,0
262,501,0
267,143,1
327,523,0
296,469,0
301,158,1
300,151,1
299,530,0
328,147,1
299,551,0
245,115,1
256,517,0
297,128,1
328,538,0
324,548,0
339,510,0
335,136,1
314,149,1
305,133,1
331,161,1
319,542,0
273,178,1
279,193,1
304,468,0
311,138,1
295,561,0
338,144,1
314,493,0
311,559,0
343,500,0
283,519,0
334,557,0
307,134,1
276,111,1
274,523,0
338,553,0
312,112,1
331,492,0
246,508,0
344,511,0
299,533,0
316,125,1
288,147,1
300,539,0
273,147,1
326,473,0
363,548,0
326,162,1
333,542,0
330,571,0
294,524,0
266,117,1
347,501,0
314,109,1
305,531,0
300,144,1
274,534,0
283,539,0
336,520,0
322,135,1
308,546,0
290,566,0
326,578,0
259,150,1
300,101,1
269,509,0
316,544,0
262,107,1
288,139,1
343,561,0
306,99,1
331,126,1
328,126,1
304,538,0
327,507,0
300,92,1
297,121,1
279,142,1
265,168,1
324,540,0
294,151,1
297,508,0
286,537,0
280,112,1
321,490,0
256,491,0
339,158,1
311,100,1
326,129,1
292,134,1
267,512,0
301,114,1
270,106,1
318,533,0
311,536,0
322,146,1
312,584,0
323,504,0
305,115,1
329,539,0
289,156,1
323,169,1
346,499,0
269,164,1
281,474,0
341,512,0
285,499,0
320,152,1
278,531,0
335,507,0
272,497,0
290,140,1
308,518,0
296,536,0
295,572,0
265,521,0
284,532,0
344,507,0
253,480,0
302,118,1
271,515,0
360,477,0
300,536,0
320,143,1
312,121,1
295,138,1
312,154,1
281,534,0
335,512,0
270,556,0
318,488,0
328,155,1
321,140,1
323,518,0
318,140,1
309,497,0
302,509,0
305,99,1
310,525,0
305,588,0
351,545,0
321,536,0
307,121,1
326,520,0
345,143,1
371,524,0
315,529,0
341,124,1
293,143,1
329,534,0
271,527,0
346,536,0
327,525,0
284,152,1
323,141,1
330,497,0
309,142,1
306,139,1
302,489,0
280,126,1
304,555,0
280,95,1
345,518,0
301,97,1
297,171,1
295,570,0
317,527,0
345,186,1
321,102,1
302,545,0
317,568,0
286,137,1
280,134,1
293,542,0
353,508,0
306,512,0
285,534,0
331,511,0
300,541,0
319,107,1
297,120,1
304,582,0
302,100,1
338,505,0
304,529,0
344,502,0
318,511,0
299,491,0
286,550,0
294,123,1
313,499,0
314,131,1
308,99,1
311,128,1
317,535,0
269,505,0
296,122,1
312,105,1
368,532,0
274,143,1
308,498,0
295,476,0
319,539,0
302,515,0
311,140,1
301,539,0
311,162,1
302,142,1
301,182,1
298,152,1
307,140,1
355,584,0
309,528,0
321,482,0
327,543,0
293,124,1
310,185,1
300,122,1
343,494,0
288,110,1
304,555,0
272,144,1
306,111,1
301,145,1
291,116,1
311,134,1
280,180,1
327,158,1
319,117,1
285,107,1
263,137,1
284,105,1
266,534,0
322,512,0
342,108,1
340,519,0
316,179,1
302,90,1
330,506,0
302,150,1
337,534,0
293,129,1
284,88,1
256,512,0
314,542,0
320,141,1
282,553,0
320,512,0
296,510,0
313,523,0
311,158,1
300,147,1
272,157,1
291,96,1
291,594,0
308,536,0
294,125,1
348,501,0
328,77,1
274,111,1
326,136,1
330,471,0
321,114,1
292,525,0
271,142,1
256,134,1
253,141,1
304,125,1
286,153,1
340,535,0
319,491,0
303,150,1
333,167,1
309,171,1
308,516,0
319,550,0
276,118,1
294,137,1
296,123,1
287,533,0
282,155,1
295,533,0
271,526,0
319,141,1
296,505,0
286,136,1
305,528,0
320,165,1
300,517,0
270,133,1
308,573,0
291,124,1
324,544,0
289,132,1
301,485,0
273,498,0
308,492,0
332,525,0
293,167,1
273,558,0
326,504,0
302,99,1
317,548,0
316,138,1
308,133,1
327,533,0
303,133,1
306,543,0
325,112,1
297,518,0
313,535,0
304,176,1
316,561,0
281,543,0
301,545,0
362,143,1
268,505,0
327,163,1
278,128,1
263,155,1
269,538,0
281,523,0
307,156,1
293,521,0
312,128,1
300,89,1
317,133,1
280,166,1
295,104,1
267,467,0
325,466,0
301,519,0
284,546,0
291,130,1
262,117,1
259,119,1
318,558,0
325,538,0
298,541,0
301,512,0
277,164,1
292,522,0
298,121,1
284,115,1
311,509,0
315,500,0
333,152,1
290,134,1
320,542,0
322,136,1
291,176,1
316,108,1
289,112,1
309,555,0
314,134,1
277,126,1
291,527,0
303,563,0
287,566,0
319,520,0
343,534,0
264,176,1
289,159,1
303,144,1
295,146,1
330,143,1
280,139,1
280,509,0
318,538,0
293,493,0
303,513,0
301,157,1
319,484,0
307,110,1
268,498,0
265,473,0
333,141,1
295,519,0
305,124,1
327,546,0
316,134,1
313,568,0
291,537,0
297,129,1
322,147,1
303,529,0
366,514,0
314,144,1
309,506,0
335,533,0
280,527,0
273,562,0
308,534,0
305,133,1
269,534,0
318,136,1
298,131,1
329,138,1
323,134,1
289,483,0
309,581,0
375,534,0
304,491,0
289,131,1
329,510,0
286,496,0
308,119,1
293,539,0
282,512,0
287,135,1
330,130,1
313,564,0
279,513,0
294,133,1
292,489,0
317,507,0
310,563,0
315,85,1
338,489,0
310,154,1
316,564,0
335,530,0
297,128,1
317,134,1
247,136,1
300,131,1
356,561,0
337,503,0
340,136,1
304,519,0
325,116,1
288,516,0
332,517,0
292,144,1
303,501,0
299,485,0
298,530,0
308,129,1
313,505,0
318,501,0
312,518,0
307,521,0
306,88,1
275,110,1
253,135,1
251,99,1
253,156,1
296,570,0
327,527,0
300,558,0
310,512,0
298,129,1
306,549,0
311,176,1
318,524,0
312,151,1
289,536,0
302,516,0
271,525,0
331,142,1
321,485,0
324,553,0
292,529,0
315,528,0
314,138,1
293,527,0
335,527,0
295,75,1
273,154,1
297,138,1
273,122,1
299,518,0
283,135,1
305,523,0
365,525,0
317,521,0
300,129,1
313,483,0
309,529,0
259,80,1
323,110,1
334,143,1
304,122,1
334,132,1
239,530,0
298,132,1
332,157,1
318,508,0
320,174,1
343,526,0
337,539,0
337,518,0
269,526,0
317,504,0
312,532,0
281,135,1
281,535,0
351,556,0
268,511,0
318,508,0
327,154,1
324,527,0
279,555,0
315,531,0
305,497,0
322,121,1
337,128,1
273,109,1
299,119,1
276,540,0
272,528,0
309,520,0
271,159,1
294,516,0
333,133,1
322,116,1
329,539,0
302,116,1
329,133,1
322,536,0
326,532,0
280,143,1
328,489,0
341,564,0
290,521,0
580
308,525
301,133
336,540,0
294,503,0
304,514,0
293,138,1
302,126,1
310,136,1
343,544,0
254,143,1
303,552,0
321,531,0
302,177,1
322,575,0
299,503,0
317,147,1
330,534,0
295,500,0
279,138,1
313,552,0
288,498,0
321,546,0
320,566,0
323,119,1
340,132,1
280,110,1
269,99,1
301,137,1
308,524,0
302,102,1
346,132,1
321,509,0
313,548,0
310,97,1
356,549,0
290,567,0
300,500,0
278,129,1
241,143,1
332,496,0
293,532,0
289,116,1
291,534,0
325,158,1
295,140,1
265,147,1
291,514,0
294,123,1
320,143,1
262,507,0
308,507,0
314,101,1
312,89,1
347,112,1
304,132,1
330,540,0
284,506,0
343,509,0
262,501,0
267,143,1
327,523,0
296,469,0
301,158,1
300,151,1
299,530,0
328,147,1
299,551,0
245,115,1
256,517,0
297,128,1
328,538,0
324,548,0
339,510,0
335,136,1
314,149,1
305,133,1
331,161,1
319,542,0
273,178,1
279,193,1
304,468,0
311,138,1
295,561,0
338,144,1
314,493,0
311,559,0
343,500,0
283,519,0
334,557,0
307,134,1
276,111,1
274,523,0
338,553,0
312,112,1
331,492,0
246,508,0
344,511,0
299,533,0
316,125,1
288,147,1
300,539,0
273,147,1
326,473,0
363,548,0
326,162,1
333,542,0
330,571,0
294,524,0
266,117,1
347,501,0
314,109,1
305,531,0
300,144,1
274,534,0
283,539,0
336,520,0
322,135,1
308,546,0
290,566,0
326,578,0
259,150,1
300,101,1
269,509,0
316,544,0
262,107,1
288,139,1
343,561,0
306,99,1
331,126,1
328,126,1
304,538,0
327,507,0
300,92,1
297,121,1
279,142,1
265,168,1
324,540,0
294,151,1
297,508,0
286,537,0
280,112,1
321,490,0
256,491,0
339,158,1
311,100,1
326,129,1
292,134,1
267,512,0
301,114,1
270,106,1
318,533,0
311,536,0
322,146,1
312,584,0
323,504,0
305,115,1
329,539,0
289,156,1
323,169,1
346,499,0
269,164,1
281,474,0
341,512,0
285,499,0
320,152,1
278,531,0
335,507,0
272,497,0
290,140,1
308,518,0
296,536,0
295,572,0
265,521,0
284,532,0
344,507,0
253,480,0
302,118,1
271,515,0
360,477,0
300,536,0
320,143,1
312,121,1
295,138,1
312,154,1
281,534,0
335,512,0
270,556,0
318,488,0
328,155,1
321,140,1
323,518,0
318,140,1
309,497,0
302,509,0
305,99,1
310,525,0
305,588,0
351,545,0
321,536,0
307,121,1
326,520,0
345,143,1
371,524,0
315,529,0
341,124,1
293,143,1
329,534,0
271,527,0
346,536,0
327,525,0
284,152,1
323,141,1
330,497,0
309,142,1
306,139,1
302,489,0
280,126,1
304,555,0
280,95,1
345,518,0
301,97,1
297,171,1
295,570,0
317,527,0
345,186,1
321,102,1
302,545,0
317,568,0
286,137,1
280,134,1
293,542,0
353,508,0
306,512,0
285,534,0
331,511,0
300,541,0
319,107,1
297,120,1
304,582,0
302,100,1
338,505,0
304,529,0
344,502,0
318,511,0
299,491,0
286,550,0
294,123,1
313,499,0
314,131,1
308,99,1
311,128,1
317,535,0
269,505,0
296,122,1
312,105,1
368,532,0
274,143,1
308,498,0
295,476,0
319,539,0
302,515,0
311,140,1
301,539,0
311,162,1
302,142,1
301,182,1
298,152,1
307,140,1
355,584,0
309,528,0
321,482,0
327,543,0
293,124,1
310,185,1
300,122,1
343,494,0
288,110,1
304,555,0
272,144,1
306,111,1
301,145,1
291,116,1
311,134,1
280,180,1
327,158,1
319,117,1
285,107,1
263,137,1
284,105,1
266,534,0
322,512,0
342,108,1
340,519,0
316,179,1
302,90,1
330,506,0
302,150,1
337,534,0
293,129,1
284,88,1
256,512,0
314,542,0
320,141,1
282,553,0
320,512,0
296,510,0
313,523,0
311,158,1
300,147,1
272,157,1
291,96,1
291,594,0
308,536,0
294,125,1
348,501,0
328,77,1
274,111,1
326,136,1
330,471,0
321,114,1
292,525,0
271,142,1
256,134,1
253,141,1
304,125,1
286,153,1
340,535,0
319,491,0
303,150,1
333,167,1
309,171,1
308,516,0
319,550,0
276,118,1
294,137,1
296,123,1
287,533,0
282,155,1
295,533,0
271,526,0
319,141,1
296,505,0
286,136,1
305,528,0
320,165,1
300,517,0
270,133,1
308,573,0
291,124,1
324,544,0
289,132,1
301,485,0
273,498,0
308,492,0
332,525,0
293,167,1
273,558,0
326,504,0
302,99,1
317,548,0
316,138,1
308,133,1
327,533,0
303,133,1
306,543,0
325,112,1
297,518,0
313,535,0
304,176,1
316,561,0
281,543,0
301,545,0
362,143,1
268,505,0
327,163,1
278,128,1
263,155,1
269,538,0
281,523,0
307,156,1
293,521,0
312,128,1
300,89,1
317,133,1
280,166,1
295,104,1
267,467,0
325,466,0
301,519,0
284,546,0
291,130,1
262,117,1
259,119,1
318,558,0
325,538,0
298,541,0
301,512,0
277,164,1
292,522,0
298,121,1
284,115,1
311,509,0
315,500,0
333,152,1
290,134,1
320,542,0
322,136,1
291,176,1
316,108,1
289,112,1
309,555,0
314,134,1
277,126,1
291,527,0
303,563,0
287,566,0
319,520,0
343,534,0
264,176,1
289,159,1
303,144,1
295,146,1
330,143,1
280,139,1
280,509,0
318,538,0
293,493,0
303,513,0
301,157,1
319,484,0
307,110,1
268,498,0
265,473,0
333,141,1
295,519,0
305,124,1
327,546,0
316,134,1
313,568,0
291,537,0
297,129,1
322,147,1
303,529,0
366,514,0
314,144,1
309,506,0
335,533,0
280,527,0
273,562,0
308,534,0
305,133,1
269,534,0
318,136,1
298,131,1
329,138,1
323,134,1
289,483,0
309,581,0
375,534,0
304,491,0
289,131,1
329,510,0
286,496,0
308,119,1
293,539,0
282,512,0
287,135,1
330,130,1
313,564,0
279,513,0
294,133,1
292,489,0
317,507,0
310,563,0
315,85,1
338,489,0
310,154,1
316,564,0
335,530,0
297,128,1
317,134,1
247,136,1
300,131,1
356,561,0
337,503,0
340,136,1
304,519,0
325,116,1
288,516,0
332,517,0
292,144,1
303,501,0
299,485,0
298,530,0
308,129,1
313,505,0
318,501,0
312,518,0
307,521,0
306,88,1
275,110,1
253,135,1
251,99,1
253,156,1
296,570,0
327,527,0
300,558,0
310,512,0
298,129,1
306,549,0
311,176,1
318,524,0
312,151,1
289,536,0
302,516,0
271,525,0
331,142,1
321,485,0
324,553,0
292,529,0
315,528,0
314,138,1
293,527,0
335,527,0
295,75,1
273,154,1
297,138,1
273,122,1
299,518,0
283,135,1
305,523,0
365,525,0
317,521,0
300,129,1
313,483,0
309,529,0
259,80,1
323,110,1
334,143,1
304,122,1
334,132,1
239,530,0
298,132,1
332,157,1
318,508,0
320,174,1
343,526,0
337,539,0
337,518,0
269,526,0
317,504,0
312,532,0
281,135,1
281,535,0
351,556,0
268,511,0
318,508,0
327,154,1
324,527,0
279,555,0
315,531,0
305,497,0
322,121,1
337,128,1
273,109,1
299,119,1
276,540,0
272,528,0
309,520,0
271,159,1
294,516,0
333,133,1
322,116,1
329,539,0
302,116,1
329,133,1
322,536,0
326,532,0
280,143,1
328,489,0
341,564,0
290,521,0
